unique_line,total_occurrences
Manager:  Adam Romanow,2
Manager:  Barry Samuels,2
Manager:  Brahm Callahan,2
Manager:  Brian Dagnall,2
Manager:  Carla Gundlah,2
Manager:  Cassandria Campbell,2
Manager:  Christopher Dadey,2
Manager:  David Medeiros,2
Manager:  Endis Elias Ventura,2
Manager:  Ernie Campbell,2
Manager:  Felix Ospina,2
Manager:  Fida Houjazy,2
Manager:  Gopal Rungta,2
Manager:  Grant Jones,2
Manager:  Jan Fung Lu,2
Manager:  Jon Sweeney,2
Manager:  Kamini Y. Patel,2
Manager:  LARRY JIMERSON,2
Manager:  Lalit Verma,2
Manager:  MIGUEL A MEDINA,2
Manager:  Margaret Crowley,2
Manager:  Mery Pereanez-Quintana,2
Manager:  Mevzad Durakovic,2
Manager:  Michael O'Mara,2
Manager:  Mohammad Sadiq,2
Manager:  Nathalie Lecorps,2
Manager:  Nishmin Kashyap,2
Manager:  Rebecca Bassila,2
Manager:  Renee Minahan,2
Manager:  Rifat Canca,2
Manager:  Serxho Mehilli,2
Manager:  So Lim Ting,2
Manager:  Spenser Payne,2
Manager:  Stephen DeAngelis,2
Manager:  Steven Postal,2
Manager:  Talia Glass,2
Manager:  Tracy Skelly,2
Manager:  Tzurit Or,2
Manager: Adam Romanow,2
Manager: Altamira Carpio,2
Manager: Alyssa Pasquale,2
Manager: Ana Calderon,2
Manager: Andrew Robinson,2
Manager: Anika Gramsey,2
Manager: Anthony Grossi,2
Manager: Barry Samuels,2
Manager: Barry Young,2
Manager: Bekir Senates,2
Manager: Brian George,2
Manager: Brian Toms,2
Manager: Bridget Duval,2
Manager: Bryan Lopez,2
Manager: Bryan Sayers,2
Manager: Carla Cassandria Campbell,2
Manager: DAO THACH,2
Manager: Dao Thach,2
Manager: David Cange,2
Manager: Derek Craig,2
Manager: Derek Swartz,2
Manager: Devyani Patel,2
Manager: Edneia V. Santiago,2
Manager: Ferdy L. Argueta,2
Manager: Fitzhugh Granger,2
Manager: Frank Pellino,2
Manager: Gennaro Riccio,2
Manager: George Craan,2
Manager: Gerardo Espinoza,2
Manager: Henry Manice,2
Manager: Ingrid Pinales Avalo,2
Manager: Ixchel Garcia,2
Manager: James Iannuzzi,2
Manager: Jason Indelicato,2
Manager: Jean-Luc DeBarros,2
Manager: Jennifer Matarazzo,2
Manager: Jin Chong,2
Manager: Joel Marte,2
Manager: John F. Beale,2
Manager: Jose Dario Gomez,2
Manager: Joseph Dunne,2
Manager: Katherine Herzig,2
Manager: Kayla Binger,2
Manager: Kelly Walsh,2
Manager: Kevin Reynolds,2
Manager: Kim Thu Nguyen,2
Manager: Lauren Whelan,2
Manager: Manuel Fernando Rosas Guerrero,2
Manager: Marcus Carter,2
Manager: Mary Ellen Strum,2
Manager: Matt Sari,2
Manager: Matthew Pennino,2
Manager: Michael David Gannon,2
Manager: Michael Yu,2
Manager: Miguel Angel Gallego,2
Manager: Mivan Spencer,2
Manager: Monisha Misra,2
Manager: Nilesh Patel,2
Manager: Nuri E. Garcia Montano,2
Manager: Onur Ozkoc,2
Manager: Patrick Brewster,2
Manager: Paula A. Osorio,2
Manager: Piseth Cheav,2
Manager: Purita Jongchalermchai,2
Manager: Rabiul Islam,2
Manager: Rachel Silveira,2
Manager: Rebecca Louise Donner,2
Manager: Robert Lapointe,2
Manager: Rufus J Faulk,2
Manager: Ryan Lavery,2
Manager: Serxho Mehilli,2
Manager: Shaniel Walker,2
Manager: Shannon MacGowan,2
Manager: Shirley Wong,2
Manager: Srinivas Desaneedi,2
Manager: Theodore Gailas,2
Manager: Thierry Rignol,2
Manager: Toirm Miller,2
Manager: Tom Martin,2
Manager: Xiang Zhou,2
Manager: Yimi R. Lajara,2
Manager: Zhichao Chang,2
Manager: Zun Huang,2
Managers.,2
"May 9 – 13, 2021 between the hours of 12:00 PM 4 :00 PM. Avi Shemtov as",2
Merritt.,2
"Michael Jammen, Manager. Closing hour 2:00 AM.",2
Midnight.,2
Midnight. Paul J. Terranova as manager of record.,2
NEXT APPLICATION DEADLINE HAS PASSED.,2
Neighborhood Association that the community process has been completed,2
Neighborhood Services,2
"New England Authentic Eats LLC d/b/a Papa Gino’s, 1270 River Street, Hyde Park, MA 02136",2
"New England Authentic Eats LLC d/b/a Papa Gino’s, 748 Gallivan Boulevard, Dorchester, MA",2
No Violation - Correspondence from Board,2
No violation - correspondence from the Board,2
No violation - correspondence from the Board requesting Licensee submit,2
Non-Hearing Common Victualler Transactions,2
Non-hearing Transactions,2
"Northern Ave, Boston, MA 02210, commonly known as Block G of Seaport Square, in Boston’s seaport,",2
"Notch Brighton Tap Room LLC, 525 Western Ave, Brighton, MA 02135 has applied for a one",2
"Notice: 911 call for staff on patron assault in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Alcohol service to persons under 21 in violation of M.G.L. ch. 138 s. 34‑34A, 41, 64‑64A",2
"Notice: Alleged bouncer assault on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
Notice: Assault and battery (serious injury) employee on patron in violation of M.G.L.,2
Notice: Assault and battery by means of a dangerous weapon in front of premise in violation of M.G.L.,2
"Notice: Assault and battery dangerous weapon (bottle) in violation of M.G.L. ch. 138 s. 64, ch. 265",2
"Notice: Assault and battery dangerous weapon (machete) in violation of M.G.L. ch. 138 s. 64, ch. 265 s.",2
"Notice: Assault and battery employee on employee in violation of M.G.L. ch. 138 s. 64, ch. 265",2
"Notice: Assault and battery employee on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s.",2
"Notice: Assault and battery employee on patron in violation of M.G.L. ch. 138 s. 64, ch. 265s. 13A.",2
"Notice: Assault and battery in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Assault and battery owner/employee on a police officer in violation of M.G.L. ch. 138 s. 64,",2
"Notice: Assault and battery patron on employee in violation of M.G.L. ch. 138 s. 64,",2
"Notice: Assault and battery patron on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 22.",2
"Notice: Assault and battery patron on police x2 in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13D.",2
"Notice: Assault and battery patron on security staff in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Assault and battery patron vs patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Assault and battery patron vs staff in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Assault and battery staff vs patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Assault and battery with a dangerous weapon in violation of M.G.L. ch. 138 s. 64, ch. 265 s.",2
Notice: Assault and battery with a dangerous weapon patron on patron in violation of M.G.L. ch.,2
"Notice: Assault and battery with injuries employee on patron in violation of M.G.L. ch. 138 s. 64, ch.",2
Notice: Blocked and locked fire exit in violation of M.G.L. ch. 138 s. 138 s. 64 and Board's rule 1.06A.,2
Notice: Blocked fire exit ( table and chair set up) in violation of M.G.L. ch. 138 s. 64 and Board's rule,2
Notice: Bottle service in violation of M.G.L. ch. 138 s. 64.,2
Notice: Bottle service violation ‑ premise conducting bottle service without permission in violation,2
Notice: Contaminated drinks in violation of M.G.L. ch. 138 s. 64.,2
Notice: Drug use on premise in violation of M.G.L. ch. 138 s. 64.,2
"Notice: Employee on employee assault in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Employee on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Exceeded occupancy capacity in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.03J,",2
Notice: Failure to ID patrons properly (Columbian license) in violation of M.G.L. ch. 138 s. 64.,2
Notice: Failure to cooperate with police in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.10 A+B.,2
Notice: Failure to maintain line in violation of M.G.L. ch. 138 s. 64.,2
Notice: Failure to maintain line ‑ blocked sidewalk in violation of M.G.L. ch. 138 s. 64.,2
Notice: Hearing regarding frequency of Licensed Premise violations and incidents requiring police,2
Notice: Informational hearing regarding non‑use of License in violation of M.G.L. ch.,2
Notice: Informational hearing regarding the Licensee's security plan requested by the Board on,2
Notice: Informational hearing regarding the ownership/beneficial interest in the Licensee entity and the,2
Notice: Large fight (affray) involving patrons outside the premises in violation of M.G.L. ch. 138s. 64.,2
Notice: Licenses not posted conspicuously in violation of M.G.L. ch. 138 s. 64.,2
Notice: Mandatory informational hearing regarding ownership/beneficial interest in the,2
Notice: No outdoor dining approval in violation of M.G.L. s. 64.,2
Notice: Operation after posted hours in violation of M.G.L. ch. 138 s. 64.,2
Notice: Over capacity (crowd gathered outside obstructing pedestrians) in violation of M.G.L. ch.,2
"Notice: Over capacity in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.03J, 1.06A, F.",2
"Notice: Overcrowding ‑ 148 mechanical count, capacity 107 in violation of M.G.L. ch. 138 s. 64 and",2
"Notice: Overdose on premise x2 in violation of M.G.L. ch. 138 s. 64, ch. 94C and Board's rule 1.13.",2
Notice: Overserved patron in violation of M.G.L. ch. 138 s. 64.,2
Notice: Patron argument causing a disturbance in violation of M.G.L. ch. 138 s. 64.,2
Notice: Patron injured on premise in violation of M.G.L. ch. 138 s. 64.,2
"Notice: Patron on employee assault and battery in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Patron on patron assault (fire arm) in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 15A.",2
"Notice: Patron on patron assault fight (one victim stabbed) in violation of M.G.L. ch. 138 s. 64, ch.",2
"Notice: Patron on patron fight in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
"Notice: Patron on staff assault and battery in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
Notice: Patrons drinking alcohol on public way in violation of M.G.L. ch. 138 s. 64.,2
Notice: Person under 21 in possession of alcohol on premise in violation of M.G.L. ch.,2
Notice: Persons under 21 in possession of alcohol on premise in violation of M.G.L. ch. 138 s. 34.,2
"Notice: Persons under 21 in possession of alcohol on premise in violation of M.G.L. ch. 138 s.34A,",2
Notice: Possible drugging in violation of M.G.L. ch. 138 s. 64.,2
Notice: Premise operating after posted 11 pm closing (12:50 am) in violation of M.G.L. ch. 140 s. 9.,2
Notice: Premise operating after posted 12 am close in violation of M.G.L. ch. 138 s. 64.,2
Notice: Premise providing bottle service without Board's approval in violation of M.G.L. ch. 138 s. 64.,2
Notice: Premise storing liquor without appropriate license (Beer + Wine only) in violation of M.G.L.,2
Notice: Sale of alcohol to intoxicated person in violation of M.G.L. ch. 138 s. 69.,2
"Notice: Service of alcohol to persons under 21 in violation of M.G.L. ch. 138 s. 34‑34A, 41, 64‑64A",2
Notice: Theft of property (larceny) in violation of M.G.L. ch. 138 s. 64.,2
ONE DAY SUSPENSION TO BE SERVED ON A SATURDAY,2
Oak Square,2
Officers/Directors/LLC Manager of the Corporation.,2
"Officers/Directors/LLC Manager of the Corporation.  Secondly, has petitioned for a change of",2
Officers/Directors/LLC Managers of the Corporation.,2
"Officers/Directors/LLC Managers. Lastly, has petitioned to change the manager of the licensed",2
"Officers/Directors/LLC Managers. Secondly, has petitioned for a change in Ownership Interest.",2
"Officers/Directors/LLC Managers. Secondly, has petitioned to change the DBA of the licensed business",2
"Officers/Directors/LLC Managers. Thirdly, has petitioned for a change of Ownership Interest. Lastly, has",2
Old & New Business:,2
Omega Foods,2
"On the ground floor, with a kitchen in the rear, a bathroom located upstairs, and no seating.",2
"One Hundred Seventy Three Milk St.,Inc., doing business as: Coogan's Bluff",2
Overcrowding ‑ 294 mechanical count ‑ capacity 162 in violation of M.G.L. ch. 138 s. 64 and,2
"Ownership Interest. Secondly, has petitioned for a Change of Officers/Directors/LLC Managers. Lastly,",2
"Ownership Interest. Secondly, has petitioned for a change of Officers/Directors/LLC Managers. Lastly,",2
"Ownership Interest. Secondly, has petitioned for a change of Stock Interest.",2
Ownership and Stock Interest.,2
PM closing hour.,2
PM – 10:30 PM. Robert Chabot as manager of record.,2
"PM, Fri. 3:00 PM - 11:00 PM, Sat. & Sun. 12:00 PM - 11:00 PM.",2
PM. 3 Exits and 1 entrance.,2
PRESIDENT & FELLOWS OF HARVARD UNIVERSITY d/b/a Harvard Business,2
"Patel, Manager. 2:00 AM Closing Hour. Additionally, has petitioned to pledge the license and inventory",2
Paul J. Terranova as manager of record.,2
Persons under 21 in possession of alcohol in violation of M.G.L. ch. 138 s. 34.,2
"Private Events, 4 10pm • Tuesdays Thursdays, 4 10pm • Fridays, 3 11pm • Saturdays, 12 11pm • Sundays,",2
Punta Cana Market.,2
RESCHEDULED - LICENSEE FAILED TO APPEAR,2
"ROXBURY, MA  02120",2
"ROXBURY, MA 02118",2
Rejected with prejudice,2
"Requested hours of operation; Mon. 12:00 PM - 10:00 PM, Tue. - Thur. 4:00 PM - 11:00",2
"Ribbon Sushi, Pescador (at the same location). Robert Allen Andrew Jr., Manager. Closing hour",2
Rockland Trust Company .,2
SUSPENSION WILL NOT BE STAYED PENDING ANY APPEAL TO THE,2
Saturday from 5:00 Pm - 12:00 AM and Sunday from 5Am to 10Pm.,2
"Seaport Blvd, Boston, MA 02110. Premise consists of - On one floor plus mezzanine: First floor is",2
"Seasonal (April-October) outdoor seating on public property. To: Full service 6,374 square foot",2
"Secondly, has petitioned to change the Officer/Director/LLC Manager of the license business‐ From:",2
Section 12 All Alcoholic Beverages License.,2
"September 10, 2020",2
Shop.,2
"Should a license be issued, the applicant agrees to surrender the existing malt, wine, and liqueurs",2
Special 1-Day Malt Wine,2
Special One Day Alcoholic Beverages License Applications -,2
"Speedway, 1420-1440 Soldiers Field Rd., Brighton, MA 02135, License # LB-464491, notifying the",2
"Square Feet. Secondly, has petitioned for a change of Officer/Director/LLC Manager.",2
Starbucks Corporation,2
"Structure of the licensed business - From: Marriott Hotel Services, Inc. To: Marriott Hotel Services,",2
Sunday.,2
Sunday: 8:00 AM - 4:00 PM.,2
THE BOARD WILL DEFER DELIBERATION ON ALL NEW,2
THE FOLLOWING APPLICATIONS WERE NOT COMPLETE PRIOR TO THE MAY 23,2
"TIME OUT MARKET (BOSTON) LLC d/b/a TIME OUT MARKET, 401 Park Dr.,",2
Terranova as manager of record.,2
The Applicant is to notify the Board and the Boston Transportation Department in writing,2
The Board accepts the security plan. It will be docketed and placed in the Licensee’s file.,2
"The Board is in receipt of correspondence from LSF Logan Airport, LLC d/b/a Legal Test",2
The Board lifts the transferor’s indefinite suspension for the purpose of transferring the license,2
The Board previously voted to grant the following petitions pending the availability of a License.,2
The Board requests submission of a written plan for identifying patrons,2
"The Board requests that the Licensee keep the Board apprised of any sale, transfer, or disposition",2
"The Board requests that the Licensee re-train staff on, and provide the Board with a written plan",2
The Board requests the submission of a written policy for verifying patron identification by,2
The Board voted to grant a Zip Code restricted All Alcoholic Beverages License on the condition,2
"The Board votes to roll back the Licensee’s closing hour to 10:00 PM nightly, including delivery",2
The Board will not accept an application to extend the Licensee’s hours for a period of six,2
"The Board will schedule an informational hearing on October 24, 2023 to review the submitted",2
The Following Lodging House is applying for a transfer of license,2
The Following has applied for a One Day Amendment to Existing License:,2
The Following have applied for a one day amendment to Existing License:,2
The Following have applied to make changes to an existing outdoor dining patio:,2
The Following have applied to make changes to their existing Bowling Alley License:,2
The Licensee must submit documentation to the Board that all staff and management have been,2
The following are applying for a C.V. license at a previously licensed location:,2
The following are applying for a new Common Victualler License at a,2
The following are applying for a new Common Victualler License at a previously licensed location:,2
The following are applying for changes within the existing Common Victualler License,2
The following has applied to make changes to their existing Common Victualler License.,2
The following have applied for a One Day Amendment to Existing License,2
The following have applied to make changes to their existing Common Victualler,2
The following have applied to make changes to their existing Common Victualler License.,2
The following holder of a Common Victualler License is apply to change the manager:,2
The following is applying for a New Common Victualler License at a previously licensed,2
The following is applying for a change to an existing Common Victualler License:,2
The following is applying for a transfer of a Lodging House License,2
"The premise to be licensed under G.L. c. 138 § 19H consists of - 35 Temple Place, 6 story mixed-use",2
"There were no Disciplinary Hearings held May 19, 2020.",2
This is a motion to affirm the granting of the following petitions:,2
To - Catherine Nan Brackett.,2
To be rescheduled to the next available hearing date,2
"To: Daniel Brennan Jr. and lastly, has petitioned to add officer Jandi Gamboa and Cynthia Sliva.",2
To: David J. Doward.,2
To: Johanna Chacon.,2
To: a Retail Package Store All Alcoholic Beverages License.,2
"To: a Retail Package Store All Alcoholic Beverages License. Secondly and conditionally, has",2
Transactional Hearing,2
"Transactional Hearing, Wednesday, December 1, 2021",2
"Transactional Hearing: Wednesday, April 7, 2021",2
Uncooperative with police in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.10 A+B.,2
"Vadilson Pina, Manager. 11:00 PM Closing Hour. Updating the description of premise as follows: The",2
Victualler License,2
Violation - 2 Day Suspension,2
Violation - 2nd Written Warning,2
Violation - First Warning,2
Violation - Written Warning - Correspondence from the Board,2
Violation - warning,2
WARNING - Licensee to submit COVID-19 safety and operations plan.,2
"WEST ROXBURY, MA  02132",2
"WEST ROXBURY, MA 02132",2
Waldwin Concessions LLC,2
Weintraub Trust.,2
"Xiuling Situ, Manager. 1:00 A.M. Closing",2
____________________________________________________________________,2
______________________________________________________________________,2
_________________________________________________________________________________________,2
______________________________________________________________________________________________,2
a change of Officers/Directors of the Corporation.,2
a change of Officers/Directors.,2
"a week year round, and approximately 31,463 s/f of outdoor space for special functions and events (on",2
about 500 sq ft and the dining area,2
"above -  1,400sf: In one main room on",2
above - On first floor of building(+/- 851 SF) with bar seating for eight (8) patrons and dining area,2
above - Single story building on the 1st floor: 2 rooms with table seating in front (capacity 16) and,2
above – A portion of the ground floor and basement level of the building (the “Building”) known as,2
"above – Premise consists of: (700SF) Cafe-Restaurant-One room on the first floor, 20 seats with",2
"above – Premise one floor convenience store, main store 1,000SF, storage and restroom. One",2
"above – The premises located at 1263-1269 River Street in Hyde Park, consist of 2,805 Total SF of",2
above – To: New Wings Kitchen Inc. DBA Wings Kitchen (at the same location).,2
above –The premise is a multi purpose building with residence and retail on main level located at,2
"addressing, the following: dispersal of patrons; deescalation; calling and interacting with police;",2
"alcohol/beer/wine will be refrigerated, kept, and served from behind the counter.",2
"and 2 entrances/exits (3 in total) for customers. Restaurant hours are from 11am-11pm. Ming Lin,",2
and Board's rule 1.02B.,2
and dining tables along the South wall and a central bar area with combined seating,2
and intent to transfer the license.,2
and inventory to Rockland Trust Company.,2
and investigatory and reporting procedures following incidents at the licensed premise.,2
"application. The total square footage of the premises is 20,360 square feet, with a seating capacity of 66",2
applied for a Common Victualler 7 Day Wines & Malt Beverages w/ Liqueurs License to be exercised,2
"approximately 1,213 SF, a grocery/convenience store with 1 /4 of sales dedicated to alcohol sales.",2
approximately 300 square feet on private property with seating for 12 and with hours Sat Sun 11:00,2
"area/Patio/Sidewalk for the 250th Anniversary of Paul Revere’s Ride on April 18, 2025 between the",2
armed security guards pursuant to Board’s Rule 1.07J.,2
as manager of record.,2
beginning at 10:00 AM.,2
beverages to change location within the City of Boston;,2
"building approximately 3,000SF with a seating capacity of around 80, 1 entrance/exit for the kitchen",2
building. 2 Restrooms. Storage and office space in the basement. Hours of operation are Monday -,2
business   From: Joseph D. LaChance To: Jonathan Webster.,2
business - From: 10:00 AM - 11:00 PM To: 10:00 AM - 3:00 AM,2
"business - From: 6,374 S.F. In one main room on ground floor with main dining room and bar seating;",2
"business - From: One room on the first floor 20 seats with kitchen, bathroom & Storage. To: One",2
business ‑ From: Janine Brown‑Wiese To: Aileen Guiney.,2
business – From: Ciao Bella To: Ciao Roma.,2
"cafe area with seating for 40, bar with seating for 8, kitchen in rear. Emergency exit in rear of",2
capacity of 142. There will be no outdoor seating. Total Square footage of the space is,2
capacity of 99 persons).,2
capacity of the patio is 698 including a seating capacity of 48 people. In the existing Building there is a,2
"ch. 138 s.64, ch. 265 s. 15A.",2
change of,2
change of Officer/Director/LLC Manager.,2
change of Officers/Directors and Change of Ownership Interest.,2
"change of Officers/Directors/LLC Manager. Secondly, has petitioned for a change of",2
"change of Officers/Directors/LLC Managers. Secondly, has petitioned to change the manager of the",2
change the closing hour of the license - From: 11:00 PM To: 2:00 AM.,2
change the closing hour of the licensed business - From: 9:00 PM To: 1:00 AM.,2
change the d/b/a of the licensed,2
change the license category - From: a Retail Package Store Wine and Malt Beverages,2
change the manager of the licensed business –,2
change the manager of the licensed business – From: Nick Foley To: Melissa Lee.,2
"chef bar. Kitchen, storage, and restrooms located to left of bar and dining areas. Main entrance",2
"classification of its license  To Wines, Malt Beverages and Liqueurs pursuant to the authority contained in",2
"classification of its license - To: Wines, Malt Beverages and Liqueurs pursuant to the authority",2
community process at the discretion of the Board,2
community process prior to a hearing before the Board,2
"comprised of a Building and the Outside Patio Area located at 1301-1305 Boylston Street Boston,",2
"consisting of +/‑ 1,058 SF located on private property (same hours) . Additionally, Applicant",2
"consisting of +/‑ 1,857 SF: On ground floor in one main room with bar area, bar dining area, and",2
"consists of 1009 square feet and will close at 2 AM. Mika Winder, Manager. Secondly, has petitioned to",2
contained in Chapter 481 of the Acts of 1994.,2
"coolers, walk in cooler, storage area with employee kitchen and lounge, restroom, and",2
"d/b/a Amelia’s Taqueria; 1076 Boylston Street Boston, MA, 02215. The premise to be licensed is",2
"d/b/a ReelHouse Oyster Bar located at 10 Waterside Drive Boston, MA 02210. Premise",2
deck area; and 5) one located inside the existing building on the parcel.,2
"dining area, together with one additional large room in rear with additional dining and seating areas and",2
dining area. The seating capacity is 150 and the legal occupancy is 150. There is one entrance /exit,2
entrance and 2 exits.,2
entrance and two exits.,2
"exercised on the above - on one floor     (1579 Square feet) with kitchen/prep space, two",2
"exercised on the above – 10,011SF business lounge located within Terminal E of Logan International",2
exit.,2
failure to social distance and permitting a line to form outside the Licensed Premise.,2
"fee standing building. The space is 1,576 total square feet with the bar area occupying",2
feet on the ground floor of Winthrop Center located at 115 Federal Street. This food kiosk is located on,2
filing of the Licensee’s annual renewal pursuant to M.G.L. ch. 140 s. 9 and Board’s Rule 1.15(A)(6).,2
floor of the building and holds 1 entrance and 2 exits as well as an outdoor seating area. The outdoor,2
floor with kitchen and storage in rear.,2
"floor, which includes a dining room and kitchen,1490 SF located in the basement, which includes a",2
"floorplan on file with the Board, without Board approval",2
"for Show/Drowsy Chaperone to be exercised at 45 Fairmount Avenue, Hyde",2
for a Change of Manager From: Joseph E. Coppola To: Christian Moen,2
for a change in Ownership Interest and Change of LLC Manager.,2
for a change of LLC Managers.,2
for a change of Officers/Directors.,2
"for a change of Ownership Interest. Secondly, has petitioned for a change of Officers/Directors/LLC",2
for a one day amendment to existing license to include the contiguous space that is the upper,2
"from the above - To: VJ Partners, Inc. dba Green Gardens Liquor & Deli (at the same location).",2
"ground floor, together with seasonal (April October) outdoor patio on private property with 48 seats and",2
"ground level, approx. 640sf on first floor with main entrance/exit on Meridian St.",2
has applied for a one day amendment to existing license to include the contiguous space that is,2
has petitioned for a change of,2
has petitioned for a change of Stock Interest.,2
"has petitioned to Pledge the License to 25 Charles Street Property Company, LLC.",2
has petitioned to change the,2
has petitioned to change the manager of the licensed business – From: Alexis Sillery To: Charles,2
"has petitioned to change the officers From: Orin Smith, Doug Gordon To: Jandi Gamboa and",2
has petitioned to transfer the license from the,2
hereby incorporated by reference. (ABCC conditions hereby incorporated by reference). Licensing,2
hour.,2
hours of 4 p.m. - 11 p.m.,2
"houses the walk-in fridge, preparation, dry storage room, dishwasher station and the bathroom.",2
"in Chapter 481 of the Acts of 1993. Secondly, has petitioned to change the manager of the licensed",2
"interior of the entire Western side of the Parcel, juts inwards towards the center of the Parcel until it",2
inventory to Rockland Trust Company.,2
"inward towards the center of the Parcel, juts towards the Northwestern side of the Parcel, runs in the",2
is 48 people. The bar area allows for 32 seated persons and the dining area allows for 8,2
"is one entrance, and two exits. There will be no seating, and the occupancy allows up to 20 guests at a",2
is private property which is leased by the applicant. A copy of the lease has been attached to this,2
"kitchen and storage. Also, to include a 1600 SF private outdoor year-round patio (weather permitting)",2
kitchen in rear; entrance in front and exit in rear. total 640 sq. ft.,2
"kitchen, bathroom & storage. Front (10 Seats) & Rear (30 Seats) seasonal patios (April-Oct) on private",2
"kitchen, office, storage, and restrooms.",2
"kitchen/prep area, and concession window. Daniel Hassett as Manager of Record.",2
"kitchenette, and bathroom. Larger units contain a living area.",2
level to go café.,2
license,2
license and inventory to Rockland Trust Company.,2
"license and the location from the above - To: The Pearl Group at Boston Landing, LLC dba The Pearl",2
license and the location from the above – To: Nowon Seaport LLC dba Nowon Seaport located at 117,2
"license from the above - To: SGH Seaport, LLC dba Bambola! (at the same location). Richard Sullivan",2
license to Eastern Bank.,2
license – From: a Section 15 Wines and Malt Beverages License To: a Section 15 All Alcoholic,2
licensed business - From: Conrad McKay To: Valerie Mansolilli.,2
licensed business - From: Joseph S. Pace To: Cara Pace.,2
licensed business – From: 10:00 PM To: 11:59 PM.,2
licensed business – From: Hector Tovar To: Don Bailey.,2
licensed business – From: James Rodgers To: Patchara Srisuk.,2
licensed business – From: Klajdi Palaj To: Samantha Reynolds.,2
licensed business – From: Mary T. Connolly To: Mona Connolly Casper.,2
licensed business – From: Samantha Reynolds To: David K. Wilson.,2
licensed business – From: Sarah Dionne To: David Jordan.,2
"located at 39 Charles Street, Boston, MA 02114. Premise consists of: 1,750 sq. ft. of restaurant space",2
"located at 67-69 Guest Street, Boston, MA 02135. Premise consists of: 4,865 square feet on the ground",2
located on end of pier with one additional entrance/exit to right of bar and dining area and one,2
location‑ From: Aaron Mohr (License Coordinator) & Jose Duenas (CEO),2
"lodgers/per floor, total 19 lodgers. No common space. All units contain a bedroom or sleeping area,",2
manager From – Joseph LaChance To –  Jessica Tantin. Granted,2
manager From: Jill Kimmell To: Kathleen O’Connor.,2
manager of record. Hours of operation: 11:00 AM – 11:00 PM.,2
manager of record. Hours of operation: 7:00 AM - 7:00 PM.,2
manager of the licensed business -,2
manager of the licensed business - From: Michael Jorgensen  To: Jennifer Pendola.,2
"manager of the licensed business - From: Narendrakumar Patel To: Uma Vadher. Secondly, has",2
manager of the licensed business ‑ From: Jennifer Pendola To: Conrad McKay.,2
manager of the licensed business – From: James Rodgers To: Patchara Srisuk.,2
manager on record.,2
"minimal retail, storage and office space.",2
"months, and any such application must include a community process facilitated by the Office of",2
non-sporting events at the ballpark). Only beer and wine to be served at all other concession stands in,2
occupying about 200 sq.,2
occurred.,2
"of  Officers/Directors/LLC Managers of the Corporation. Secondly, has petitioned for a change of",2
of 7:00 p.m. - 2:00 a.m.,2
"of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",2
of Officers/Directors/LLC Managers of the corporation.,2
"of Officers/Directors/LLC Managers. Secondly, has petitioned for a change of Stock. Lastly, has",2
of record.,2
of record. Hours of operation: 11:00 AM - 9:00 PM.,2
of the Acts of 2024.,2
of the License,2
of the licensed business,2
office; Annual patio on private property is 431 sq. ft. with seating for 22 closing at 10:00 PM. Niral,2
"on private property with 18 seats, same hours as the restaurant. Additional 28 patio seats",2
on public property (on street).,2
"on the above - approximately 3000 SF Restaurant located on 2 floors, with 1490 SF located on the 1st",2
one large room on ground floor of a commercial building with main entrance/exit into the dining and,2
"one main entrance/ exit on Northern Avenue, and three exits. Kitchen and storage in rear of premises.",2
operation: 6:00 AM – 9:00 PM.,2
outdoor patio area on private property with 40 seats (11:00 PM Patio closing) and of 450 person,2
patio located on private property with seating for 24 operated from 7:00 am to 10:00 pm seven (7) days,2
patio.,2
petitioned for a change in Ownership Interest.,2
petitioned for a change of  Officers/Directors/LLC Managers.,2
petitioned for a change of Officers/Directors/LLC Manager.,2
"petitioned for a change of manager/officers From - Joseph A Pace, Sr. To - Angela Pace, Owner,",2
petitioned to change the closing hour of the licensed business - From: 1:00 AM To: 2:00 AM.,2
